log_id,driver_id,date,timestamp,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status
VEL142,DRV029,2024-02-06,2024-02-06 08:38:24,926,2.64,350.76,173,177.76,7,ahead
VEL143,DRV125,2024-02-06,2024-02-06 12:04:48,1874,6.08,308.22,167,141.22,3,ahead
VEL144,DRV031,2024-02-06,2024-02-06 13:36:36,965,7.61,126.81,182,-55.19,2,at_risk
VEL145,DRV025,2024-02-06,2024-02-06 10:10:12,1874,4.17,449.4,196,253.4,13,ahead
VEL146,DRV158,2024-02-06,2024-02-06 08:56:24,671,2.94,228.23,190,38.23,9,ahead
VEL147,DRV045,2024-02-06,2024-02-06 07:29:24,1742,1.49,1169.13,171,998.13,13,ahead
VEL148,DRV009,2024-02-06,2024-02-06 07:27:00,236,1.45,162.76,187,-24.24,9,at_risk
VEL149,DRV014,2024-02-06,2024-02-06 12:15:36,205,6.26,32.75,180,-147.25,1,at_risk
VEL150,DRV080,2024-02-06,2024-02-06 09:43:12,1551,3.72,416.94,203,213.94,12,ahead
VEL151,DRV056,2024-02-06,2024-02-06 09:45:36,182,3.76,48.4,183,-134.6,5,at_risk
VEL152,DRV135,2024-02-06,2024-02-06 07:07:12,2140,1.12,1910.71,192,1718.71,4,ahead
VEL153,DRV025,2024-02-06,2024-02-06 11:58:12,774,5.97,129.65,176,-46.35,4,at_risk
VEL154,DRV118,2024-02-06,2024-02-06 12:15:00,1301,6.25,208.16,181,27.16,12,ahead
VEL155,DRV128,2024-02-06,2024-02-06 11:30:00,1163,5.5,211.45,192,19.45,4,ahead
VEL156,DRV121,2024-02-06,2024-02-06 11:48:00,2091,5.8,360.52,171,189.52,12,ahead
VEL157,DRV016,2024-02-06,2024-02-06 11:04:48,2207,5.08,434.45,177,257.45,14,ahead
VEL158,DRV109,2024-02-06,2024-02-06 08:13:12,759,2.22,341.89,173,168.89,7,ahead
VEL159,DRV057,2024-02-06,2024-02-06 08:33:00,307,2.55,120.39,177,-56.61,15,at_risk
VEL160,DRV057,2024-02-06,2024-02-06 09:42:00,748,3.7,202.16,204,-1.84,4,on_track
VEL161,DRV085,2024-02-06,2024-02-06 12:58:48,522,6.98,74.79,189,-114.21,7,at_risk
VEL162,DRV191,2024-02-06,2024-02-06 08:48:00,2300,2.8,821.43,205,616.43,4,ahead
VEL163,DRV201,2024-02-06,2024-02-06 09:01:12,1058,3.02,350.33,195,155.33,1,ahead
VEL164,DRV042,2024-02-06,2024-02-06 09:42:00,2238,3.7,604.86,168,436.86,5,ahead
VEL165,DRV099,2024-02-06,2024-02-06 08:31:12,600,2.52,238.1,182,56.1,6,ahead
VEL166,DRV151,2024-02-06,2024-02-06 08:21:00,1862,2.35,792.34,168,624.34,3,ahead
VEL167,DRV140,2024-02-06,2024-02-06 06:30:00,317,0.5,634.0,185,449.0,4,ahead
VEL168,DRV062,2024-02-06,2024-02-06 10:02:24,1318,4.04,326.24,203,123.24,2,ahead
VEL169,DRV176,2024-02-06,2024-02-06 07:53:24,1914,1.89,1012.7,196,816.7,6,ahead
VEL170,DRV121,2024-02-06,2024-02-06 08:46:48,1519,2.78,546.4,171,375.4,11,ahead
VEL171,DRV047,2024-02-06,2024-02-06 11:37:12,205,5.62,36.48,173,-136.52,6,at_risk
VEL172,DRV054,2024-02-06,2024-02-06 12:03:36,1626,6.06,268.32,188,80.32,12,ahead
VEL173,DRV142,2024-02-06,2024-02-06 11:02:24,2316,5.04,459.52,180,279.52,11,ahead
VEL174,DRV148,2024-02-06,2024-02-06 08:04:48,1280,2.08,615.38,189,426.38,2,ahead
VEL175,DRV142,2024-02-06,2024-02-06 07:28:48,585,1.48,395.27,203,192.27,2,ahead
VEL176,DRV164,2024-02-06,2024-02-06 10:54:00,318,4.9,64.9,177,-112.1,4,at_risk
VEL177,DRV055,2024-02-06,2024-02-06 13:26:24,1975,7.44,265.46,169,96.46,9,ahead
VEL178,DRV041,2024-02-06,2024-02-06 08:45:36,1554,2.76,563.04,195,368.04,13,ahead
VEL179,DRV173,2024-02-06,2024-02-06 10:30:00,977,4.5,217.11,174,43.11,1,ahead
VEL180,DRV188,2024-02-06,2024-02-06 07:56:24,673,1.94,346.91,200,146.91,12,ahead
VEL181,DRV117,2024-02-06,2024-02-06 13:11:24,1184,7.19,164.67,200,-35.33,6,at_risk
VEL182,DRV195,2024-02-06,2024-02-06 09:51:36,1649,3.86,427.2,172,255.2,15,ahead
VEL183,DRV004,2024-02-06,2024-02-06 07:00:36,1936,1.01,1916.83,191,1725.83,9,ahead
VEL184,DRV167,2024-02-06,2024-02-06 12:25:48,2213,6.43,344.17,175,169.17,10,ahead
VEL185,DRV050,2024-02-06,2024-02-06 11:43:48,1272,5.73,221.99,173,48.99,5,ahead
VEL186,DRV019,2024-02-06,2024-02-06 13:40:12,336,7.67,43.81,168,-124.19,13,at_risk
VEL187,DRV201,2024-02-06,2024-02-06 12:03:36,929,6.06,153.3,190,-36.7,8,at_risk
VEL188,DRV197,2024-02-06,2024-02-06 13:01:48,2330,7.03,331.44,169,162.44,3,ahead
VEL189,DRV018,2024-02-06,2024-02-06 12:07:48,1943,6.13,316.97,189,127.97,9,ahead
VEL190,DRV144,2024-02-06,2024-02-06 09:30:36,1748,3.51,498.01,182,316.01,4,ahead
VEL191,DRV207,2024-02-06,2024-02-06 06:31:48,903,0.53,1703.77,201,1502.77,4,ahead
VEL192,DRV032,2024-02-06,2024-02-06 13:05:24,186,7.09,26.23,197,-170.77,8,at_risk
VEL193,DRV025,2024-02-06,2024-02-06 11:48:36,2213,5.81,380.9,198,182.9,5,ahead
VEL194,DRV068,2024-02-06,2024-02-06 12:53:24,1392,6.89,202.03,183,19.03,12,ahead
VEL195,DRV146,2024-02-06,2024-02-06 10:38:24,1249,4.64,269.18,175,94.18,4,ahead
VEL196,DRV061,2024-02-06,2024-02-06 10:30:00,336,4.5,74.67,183,-108.33,1,at_risk
VEL197,DRV055,2024-02-06,2024-02-06 13:34:12,756,7.57,99.87,182,-82.13,15,at_risk
VEL198,DRV072,2024-02-06,2024-02-06 08:31:48,694,2.53,274.31,168,106.31,11,ahead
VEL199,DRV058,2024-02-06,2024-02-06 13:55:12,1169,7.92,147.6,178,-30.4,9,at_risk
VEL200,DRV128,2024-02-06,2024-02-06 06:30:36,625,0.51,1225.49,187,1038.49,11,ahead
VEL201,DRV095,2024-02-06,2024-02-06 08:55:48,1661,2.93,566.89,200,366.89,5,ahead
VEL202,DRV188,2024-02-06,2024-02-06 09:33:36,697,3.56,195.79,204,-8.21,5,on_track
VEL203,DRV177,2024-02-06,2024-02-06 13:53:24,1479,7.89,187.45,205,-17.55,14,on_track
VEL204,DRV115,2024-02-06,2024-02-06 12:40:48,192,6.68,28.74,179,-150.26,12,at_risk
VEL205,DRV170,2024-02-06,2024-02-06 07:49:48,1295,1.83,707.65,166,541.65,9,ahead
VEL206,DRV104,2024-02-06,2024-02-06 11:55:12,585,5.92,98.82,189,-90.18,11,at_risk
VEL207,DRV144,2024-02-06,2024-02-06 13:01:48,1204,7.03,171.27,205,-33.73,10,at_risk
VEL208,DRV064,2024-02-06,2024-02-06 08:03:00,2406,2.05,1173.66,193,980.66,4,ahead
VEL209,DRV167,2024-02-06,2024-02-06 08:31:12,1478,2.52,586.51,202,384.51,11,ahead
VEL210,DRV116,2024-02-06,2024-02-06 07:40:12,1769,1.67,1059.28,179,880.28,12,ahead
VEL211,DRV130,2024-02-06,2024-02-06 09:15:36,1927,3.26,591.1,195,396.1,2,ahead
VEL212,DRV028,2024-02-06,2024-02-06 07:51:36,2181,1.86,1172.58,176,996.58,14,ahead
VEL213,DRV133,2024-02-06,2024-02-06 07:55:12,871,1.92,453.65,196,257.65,12,ahead
VEL214,DRV008,2024-02-06,2024-02-06 11:21:36,888,5.36,165.67,166,-0.33,5,on_track
VEL215,DRV132,2024-02-06,2024-02-06 13:08:24,817,7.14,114.43,190,-75.57,11,at_risk
VEL216,DRV139,2024-02-06,2024-02-06 07:01:12,919,1.02,900.98,169,731.98,7,ahead
VEL217,DRV175,2024-02-06,2024-02-06 09:54:36,1154,3.91,295.14,190,105.14,2,ahead
VEL218,DRV095,2024-02-06,2024-02-06 07:31:48,2307,1.53,1507.84,165,1342.84,10,ahead
VEL219,DRV062,2024-02-06,2024-02-06 09:19:48,558,3.33,167.57,166,1.57,2,ahead
VEL220,DRV103,2024-02-06,2024-02-06 12:13:48,205,6.23,32.91,167,-134.09,3,at_risk
VEL221,DRV127,2024-02-06,2024-02-06 12:16:48,1167,6.28,185.83,182,3.83,3,ahead
