audio_id,trip_id,timestamp,elapsed_seconds,audio_level_db,audio_classification,sustained_duration_sec
AUD081,TRIP028,2024-02-06 06:05:22,322,95,argument,179
AUD082,TRIP021,2024-02-06 06:05:56,356,73,very_loud,57
AUD083,TRIP004,2024-02-06 06:06:51,411,58,normal,0
AUD084,TRIP026,2024-02-06 06:16:51,1011,51,conversation,0
AUD085,TRIP018,2024-02-06 06:19:32,1172,73,loud,0
AUD086,TRIP026,2024-02-06 06:18:49,1129,58,very_loud,22
AUD087,TRIP003,2024-02-06 06:10:33,633,75,argument,122
AUD088,TRIP017,2024-02-06 06:14:01,841,76,very_loud,18
AUD089,TRIP005,2024-02-06 06:10:49,649,91,quiet,0
AUD090,TRIP015,2024-02-06 06:15:54,954,93,very_loud,88
AUD091,TRIP005,2024-02-06 06:29:58,1798,85,argument,150
AUD092,TRIP006,2024-02-06 06:26:12,1572,58,loud,0
AUD093,TRIP017,2024-02-06 06:29:38,1778,53,quiet,0
AUD094,TRIP017,2024-02-06 06:05:13,313,69,normal,0
AUD095,TRIP006,2024-02-06 06:11:00,660,95,normal,0
AUD096,TRIP012,2024-02-06 06:17:42,1062,68,quiet,0
AUD097,TRIP009,2024-02-06 06:06:42,402,90,very_loud,70
AUD098,TRIP005,2024-02-06 06:21:20,1280,69,very_loud,136
AUD099,TRIP003,2024-02-06 06:17:09,1029,91,normal,0
AUD100,TRIP019,2024-02-06 06:19:49,1189,59,normal,0
AUD101,TRIP022,2024-02-06 06:21:18,1278,96,very_loud,86
AUD102,TRIP027,2024-02-06 06:19:14,1154,52,quiet,0
AUD103,TRIP003,2024-02-06 06:01:33,93,91,very_loud,67
AUD104,TRIP021,2024-02-06 06:07:11,431,86,loud,0
AUD105,TRIP020,2024-02-06 06:21:48,1308,51,loud,0
AUD106,TRIP029,2024-02-06 06:21:24,1284,84,conversation,0
AUD107,TRIP021,2024-02-06 06:10:18,618,80,normal,0
AUD108,TRIP026,2024-02-06 06:27:33,1653,93,loud,0
AUD109,TRIP010,2024-02-06 06:15:28,928,54,argument,15
AUD110,TRIP006,2024-02-06 06:15:00,900,76,loud,0
AUD111,TRIP015,2024-02-06 06:06:57,417,71,very_loud,36
AUD112,TRIP011,2024-02-06 06:29:24,1764,95,conversation,0
AUD113,TRIP024,2024-02-06 06:29:22,1762,72,loud,0
AUD114,TRIP005,2024-02-06 06:25:57,1557,73,very_loud,143
AUD115,TRIP004,2024-02-06 06:10:53,653,65,loud,0
AUD116,TRIP004,2024-02-06 06:09:07,547,78,normal,0
AUD117,TRIP005,2024-02-06 06:03:18,198,53,conversation,0
AUD118,TRIP013,2024-02-06 06:29:29,1769,89,loud,0
AUD119,TRIP008,2024-02-06 06:29:32,1772,60,conversation,0
AUD120,TRIP030,2024-02-06 06:19:43,1183,96,conversation,0
AUD121,TRIP007,2024-02-06 06:26:02,1562,60,loud,0
AUD122,TRIP017,2024-02-06 06:15:56,956,81,conversation,0
AUD123,TRIP016,2024-02-06 06:00:47,47,55,loud,0
AUD124,TRIP017,2024-02-06 06:15:36,936,65,normal,0
AUD125,TRIP019,2024-02-06 06:12:02,722,53,quiet,0
AUD126,TRIP010,2024-02-06 06:16:53,1013,88,argument,172
AUD127,TRIP016,2024-02-06 06:09:45,585,84,quiet,0
AUD128,TRIP028,2024-02-06 06:03:40,220,77,normal,0
AUD129,TRIP029,2024-02-06 06:09:01,541,96,conversation,0
AUD130,TRIP025,2024-02-06 06:13:45,825,73,quiet,0
AUD131,TRIP013,2024-02-06 06:01:44,104,86,very_loud,49
AUD132,TRIP012,2024-02-06 06:18:53,1133,68,quiet,0
AUD133,TRIP013,2024-02-06 06:17:12,1032,78,very_loud,71
AUD134,TRIP027,2024-02-06 06:21:16,1276,93,very_loud,30
AUD135,TRIP005,2024-02-06 06:03:18,198,75,conversation,0
AUD136,TRIP026,2024-02-06 06:11:34,694,85,conversation,0
AUD137,TRIP025,2024-02-06 06:04:55,295,62,very_loud,130
AUD138,TRIP013,2024-02-06 06:17:04,1024,52,quiet,0
AUD139,TRIP002,2024-02-06 06:04:40,280,95,conversation,0
AUD140,TRIP026,2024-02-06 06:16:10,970,83,loud,0
AUD141,TRIP005,2024-02-06 06:20:41,1241,82,normal,0
AUD142,TRIP011,2024-02-06 06:20:55,1255,70,normal,0
AUD143,TRIP013,2024-02-06 06:21:02,1262,97,conversation,0
AUD144,TRIP019,2024-02-06 06:11:28,688,82,very_loud,136
AUD145,TRIP016,2024-02-06 06:24:11,1451,86,conversation,0
AUD146,TRIP016,2024-02-06 06:27:50,1670,51,conversation,0
AUD147,TRIP011,2024-02-06 06:22:59,1379,57,loud,0
AUD148,TRIP019,2024-02-06 06:10:30,630,96,argument,161
AUD149,TRIP001,2024-02-06 06:20:22,1222,80,conversation,0
AUD150,TRIP021,2024-02-06 06:26:43,1603,87,very_loud,58
AUD151,TRIP024,2024-02-06 06:01:45,105,87,loud,0
AUD152,TRIP006,2024-02-06 06:17:53,1073,90,argument,158
AUD153,TRIP025,2024-02-06 06:28:42,1722,74,normal,0
AUD154,TRIP027,2024-02-06 06:23:14,1394,65,quiet,0
AUD155,TRIP019,2024-02-06 06:23:54,1434,57,normal,0
AUD156,TRIP001,2024-02-06 06:15:03,903,70,loud,0
AUD157,TRIP005,2024-02-06 06:14:05,845,94,normal,0
AUD158,TRIP014,2024-02-06 06:17:07,1027,89,loud,0
AUD159,TRIP028,2024-02-06 06:28:57,1737,97,argument,15
AUD160,TRIP023,2024-02-06 06:04:42,282,83,normal,0
AUD161,TRIP018,2024-02-06 06:11:05,665,92,loud,0
AUD162,TRIP017,2024-02-06 06:12:51,771,70,normal,0
AUD163,TRIP015,2024-02-06 06:18:11,1091,71,very_loud,90
AUD164,TRIP022,2024-02-06 06:26:21,1581,96,argument,164
AUD165,TRIP026,2024-02-06 06:23:39,1419,66,very_loud,123
AUD166,TRIP007,2024-02-06 06:08:24,504,67,very_loud,76
AUD167,TRIP008,2024-02-06 06:10:09,609,68,argument,53
AUD168,TRIP023,2024-02-06 06:24:03,1443,81,conversation,0
AUD169,TRIP016,2024-02-06 06:11:54,714,85,argument,70
AUD170,TRIP010,2024-02-06 06:04:09,249,86,argument,139
AUD171,TRIP013,2024-02-06 06:13:28,808,72,normal,0
AUD172,TRIP010,2024-02-06 06:01:26,86,68,argument,20
AUD173,TRIP012,2024-02-06 06:15:05,905,91,conversation,0
AUD174,TRIP024,2024-02-06 06:16:21,981,63,normal,0
AUD175,TRIP027,2024-02-06 06:18:23,1103,67,very_loud,178
AUD176,TRIP009,2024-02-06 06:04:41,281,56,very_loud,150
AUD177,TRIP008,2024-02-06 06:08:16,496,53,argument,135
AUD178,TRIP008,2024-02-06 06:21:46,1306,64,quiet,0
AUD179,TRIP004,2024-02-06 06:14:06,846,71,argument,120
AUD180,TRIP004,2024-02-06 06:23:15,1395,58,quiet,0
AUD181,TRIP018,2024-02-06 06:05:23,323,76,argument,121
AUD182,TRIP016,2024-02-06 06:22:12,1332,62,conversation,0
AUD183,TRIP011,2024-02-06 06:09:44,584,91,quiet,0
AUD184,TRIP030,2024-02-06 06:26:14,1574,55,argument,146
AUD185,TRIP008,2024-02-06 06:18:15,1095,97,argument,9
AUD186,TRIP030,2024-02-06 06:05:58,358,76,normal,0
AUD187,TRIP030,2024-02-06 06:01:14,74,75,loud,0
AUD188,TRIP006,2024-02-06 06:25:33,1533,68,quiet,0
AUD189,TRIP001,2024-02-06 06:10:11,611,86,very_loud,27
AUD190,TRIP030,2024-02-06 06:11:26,686,68,loud,0
AUD191,TRIP021,2024-02-06 06:18:32,1112,83,loud,0
AUD192,TRIP029,2024-02-06 06:04:34,274,82,loud,0
AUD193,TRIP009,2024-02-06 06:06:34,394,57,conversation,0
AUD194,TRIP006,2024-02-06 06:24:57,1497,79,argument,65
AUD195,TRIP023,2024-02-06 06:06:21,381,50,argument,86
AUD196,TRIP026,2024-02-06 06:10:04,604,86,argument,49
AUD197,TRIP006,2024-02-06 06:20:51,1251,90,loud,0
AUD198,TRIP027,2024-02-06 06:14:35,875,82,conversation,0
AUD199,TRIP003,2024-02-06 06:13:40,820,92,quiet,0
AUD200,TRIP006,2024-02-06 06:04:47,287,80,conversation,0
AUD201,TRIP030,2024-02-06 06:08:28,508,50,conversation,0
AUD202,TRIP013,2024-02-06 06:08:02,482,78,conversation,0
AUD203,TRIP011,2024-02-06 06:10:18,618,87,argument,146
AUD204,TRIP001,2024-02-06 06:08:55,535,91,conversation,0
AUD205,TRIP023,2024-02-06 06:08:03,483,53,argument,30
AUD206,TRIP015,2024-02-06 06:10:28,628,60,loud,0
AUD207,TRIP022,2024-02-06 06:17:09,1029,95,conversation,0
AUD208,TRIP023,2024-02-06 06:04:00,240,90,conversation,0
AUD209,TRIP012,2024-02-06 06:20:58,1258,64,normal,0
AUD210,TRIP005,2024-02-06 06:16:19,979,59,loud,0
AUD211,TRIP024,2024-02-06 06:20:40,1240,73,loud,0
AUD212,TRIP023,2024-02-06 06:18:44,1124,80,very_loud,170
AUD213,TRIP027,2024-02-06 06:07:27,447,98,normal,0
AUD214,TRIP022,2024-02-06 06:25:45,1545,88,quiet,0
AUD215,TRIP017,2024-02-06 06:15:14,914,83,argument,92
AUD216,TRIP003,2024-02-06 06:19:15,1155,57,quiet,0
AUD217,TRIP027,2024-02-06 06:18:41,1121,82,normal,0
AUD218,TRIP019,2024-02-06 06:18:19,1099,59,normal,0
AUD219,TRIP011,2024-02-06 06:29:09,1749,83,loud,0
AUD220,TRIP004,2024-02-06 06:23:13,1393,63,argument,149
AUD221,TRIP016,2024-02-06 06:03:06,186,82,loud,0
AUD222,TRIP026,2024-02-06 06:01:53,113,79,normal,0
AUD223,TRIP017,2024-02-06 06:14:10,850,79,very_loud,14
AUD224,TRIP018,2024-02-06 06:15:46,946,93,conversation,0
AUD225,TRIP024,2024-02-06 06:00:44,44,75,conversation,0
AUD226,TRIP027,2024-02-06 06:00:06,6,97,normal,0
AUD227,TRIP019,2024-02-06 06:02:29,149,52,loud,0
AUD228,TRIP012,2024-02-06 06:23:54,1434,54,very_loud,15
AUD229,TRIP030,2024-02-06 06:02:21,141,80,quiet,0
AUD230,TRIP010,2024-02-06 06:13:57,837,61,normal,0
AUD231,TRIP025,2024-02-06 06:21:53,1313,96,argument,107
AUD232,TRIP012,2024-02-06 06:13:03,783,78,loud,0
AUD233,TRIP013,2024-02-06 06:02:44,164,93,argument,138
AUD234,TRIP005,2024-02-06 06:22:18,1338,72,quiet,0
AUD235,TRIP006,2024-02-06 06:18:20,1100,75,very_loud,32
AUD236,TRIP024,2024-02-06 06:07:36,456,50,quiet,0
AUD237,TRIP010,2024-02-06 06:15:48,948,93,argument,139
AUD238,TRIP014,2024-02-06 06:18:09,1089,74,normal,0
AUD239,TRIP008,2024-02-06 06:15:43,943,72,normal,0
AUD240,TRIP009,2024-02-06 06:06:26,386,96,quiet,0
AUD241,TRIP002,2024-02-06 06:27:37,1657,92,loud,0
AUD242,TRIP020,2024-02-06 06:26:08,1568,51,normal,0
AUD243,TRIP007,2024-02-06 06:02:17,137,56,very_loud,8
AUD244,TRIP015,2024-02-06 06:20:24,1224,93,argument,12
AUD245,TRIP008,2024-02-06 06:25:16,1516,52,loud,0
AUD246,TRIP015,2024-02-06 06:07:59,479,84,normal,0
AUD247,TRIP025,2024-02-06 06:29:28,1768,53,normal,0
AUD248,TRIP017,2024-02-06 06:09:52,592,64,argument,147
