sensor_id,trip_id,timestamp,elapsed_seconds,accel_x,accel_y,accel_z,speed_kmh,gps_lat,gps_lon
ACC125,TRIP003,2024-02-06 06:25:52,1552,0.8,1.0,9.4,28,19.1946,72.6295
ACC126,TRIP026,2024-02-06 06:23:36,1416,0.8,1.4,9.0,35,19.1695,72.6189
ACC127,TRIP017,2024-02-06 06:11:17,677,1.1,1.0,8.9,14,12.837,77.5191
ACC128,TRIP004,2024-02-06 06:18:17,1097,2.9,1.4,8.7,47,28.645,77.2301
ACC129,TRIP016,2024-02-06 06:17:54,1074,1.8,2.0,9.6,18,12.849,77.5283
ACC130,TRIP008,2024-02-06 06:18:13,1093,0.5,0.2,8.6,18,12.8272,77.4899
ACC131,TRIP023,2024-02-06 06:03:30,210,2.6,1.2,9.1,28,19.1913,72.6401
ACC132,TRIP011,2024-02-06 06:29:24,1764,1.5,1.7,9.0,4,19.2044,72.6201
ACC133,TRIP019,2024-02-06 06:27:41,1661,1.7,0.7,9.8,7,28.6648,77.2314
ACC134,TRIP018,2024-02-06 06:07:42,462,2.3,0.8,9.7,19,12.8443,77.5209
ACC135,TRIP028,2024-02-06 06:21:11,1271,0.3,1.9,8.6,48,28.6769,77.2376
ACC136,TRIP007,2024-02-06 06:05:21,321,0.8,1.1,8.7,26,28.6457,77.2518
ACC137,TRIP015,2024-02-06 06:07:54,474,0.9,0.6,9.6,4,28.661,77.237
ACC138,TRIP022,2024-02-06 06:21:20,1280,1.8,1.6,8.8,7,19.2027,72.6415
ACC139,TRIP018,2024-02-06 06:28:12,1692,0.5,0.2,9.5,38,19.1917,72.6463
ACC140,TRIP024,2024-02-06 06:15:59,959,2.1,1.4,9.7,32,28.6741,77.2429
ACC141,TRIP018,2024-02-06 06:14:44,884,2.2,1.2,8.5,14,12.8375,77.5132
ACC142,TRIP022,2024-02-06 06:26:06,1566,2.0,0.6,8.6,48,28.6608,77.2262
ACC143,TRIP006,2024-02-06 06:09:29,569,0.6,1.2,9.3,31,12.8408,77.507
ACC144,TRIP003,2024-02-06 06:22:52,1372,0.4,0.4,9.0,31,12.8339,77.5026
ACC145,TRIP010,2024-02-06 06:18:46,1126,0.2,0.3,8.8,7,28.6751,77.2579
ACC146,TRIP025,2024-02-06 06:00:02,2,2.0,1.1,9.0,12,12.8546,77.5223
ACC147,TRIP017,2024-02-06 06:15:05,905,2.3,0.5,9.2,59,12.8449,77.5092
ACC148,TRIP010,2024-02-06 06:00:59,59,2.9,1.3,8.8,10,12.8552,77.5087
ACC149,TRIP010,2024-02-06 06:07:40,460,3.0,1.8,9.1,7,28.6378,77.2417
ACC150,TRIP021,2024-02-06 06:17:22,1042,2.1,0.9,9.1,30,19.1857,72.6387
ACC151,TRIP008,2024-02-06 06:20:27,1227,1.6,1.8,9.6,17,12.8421,77.5046
ACC152,TRIP025,2024-02-06 06:09:07,547,2.5,0.6,8.9,37,12.8336,77.5208
ACC153,TRIP019,2024-02-06 06:18:23,1103,1.5,0.7,9.5,24,28.6569,77.2313
ACC154,TRIP015,2024-02-06 06:08:09,489,1.8,0.5,9.5,2,12.8548,77.5285
ACC155,TRIP011,2024-02-06 06:13:00,780,1.2,1.4,9.6,9,28.6562,77.2619
ACC156,TRIP016,2024-02-06 06:11:19,679,2.6,1.8,9.1,33,19.1708,72.6486
ACC157,TRIP030,2024-02-06 06:29:43,1783,2.0,0.4,9.1,16,12.8206,77.4951
ACC158,TRIP011,2024-02-06 06:29:04,1744,1.1,1.4,9.2,20,28.665,77.2513
ACC159,TRIP021,2024-02-06 06:18:28,1108,0.2,0.2,9.3,58,28.6728,77.2449
ACC160,TRIP010,2024-02-06 06:03:21,201,2.3,1.4,8.6,10,19.1956,72.6274
ACC161,TRIP023,2024-02-06 06:27:10,1630,0.3,0.8,9.1,15,12.8561,77.4911
ACC162,TRIP017,2024-02-06 06:05:48,348,0.6,1.3,9.0,43,12.8426,77.521
ACC163,TRIP008,2024-02-06 06:15:44,944,1.9,1.0,9.4,57,12.8565,77.495
ACC164,TRIP026,2024-02-06 06:05:23,323,0.3,1.9,9.8,19,12.8561,77.5164
ACC165,TRIP021,2024-02-06 06:10:18,618,0.7,0.8,9.1,15,12.8476,77.5076
ACC166,TRIP013,2024-02-06 06:23:52,1432,1.0,2.0,9.4,17,28.6517,77.2372
ACC167,TRIP001,2024-02-06 06:01:40,100,2.7,1.5,9.6,57,28.6719,77.2565
ACC168,TRIP010,2024-02-06 06:21:43,1303,0.7,0.6,9.5,49,19.1901,72.6241
ACC169,TRIP022,2024-02-06 06:21:25,1285,2.0,0.7,9.1,37,28.6708,77.2505
ACC170,TRIP012,2024-02-06 06:11:09,669,2.3,0.4,8.7,34,28.6426,77.2617
ACC171,TRIP029,2024-02-06 06:28:20,1700,0.6,1.8,9.7,51,12.8412,77.5258
ACC172,TRIP010,2024-02-06 06:15:59,959,2.9,0.4,9.8,55,28.6721,77.2575
ACC173,TRIP022,2024-02-06 06:28:52,1732,2.4,0.8,9.5,0,28.6643,77.2412
ACC174,TRIP009,2024-02-06 06:25:33,1533,2.0,1.2,9.6,60,28.6422,77.2401
ACC175,TRIP012,2024-02-06 06:21:08,1268,2.7,1.2,9.7,14,19.1928,72.6289
ACC176,TRIP021,2024-02-06 06:23:55,1435,1.0,0.9,8.7,60,19.1912,72.6286
ACC177,TRIP002,2024-02-06 06:08:00,480,2.7,0.4,9.1,42,12.8598,77.4939
ACC178,TRIP024,2024-02-06 06:25:20,1520,2.2,1.8,9.4,53,28.6751,77.2421
ACC179,TRIP016,2024-02-06 06:01:07,67,2.1,0.5,9.1,15,28.6536,77.2634
ACC180,TRIP028,2024-02-06 06:18:35,1115,2.7,1.3,8.6,17,12.824,77.5167
ACC181,TRIP007,2024-02-06 06:03:07,187,2.0,1.3,9.3,1,19.2037,72.643
ACC182,TRIP002,2024-02-06 06:19:16,1156,0.7,1.7,9.2,37,12.8298,77.4943
ACC183,TRIP007,2024-02-06 06:20:20,1220,0.1,1.7,8.7,8,19.1789,72.6159
ACC184,TRIP018,2024-02-06 06:29:34,1774,0.2,0.1,9.5,15,12.852,77.4937
ACC185,TRIP019,2024-02-06 06:04:19,259,2.3,1.1,9.5,30,12.8206,77.4999
ACC186,TRIP015,2024-02-06 06:17:11,1031,0.7,1.3,9.4,58,12.8405,77.4936
ACC187,TRIP028,2024-02-06 06:01:03,63,0.3,1.0,9.0,43,28.6582,77.2437
ACC188,TRIP004,2024-02-06 06:02:45,165,1.0,0.4,8.7,39,12.8485,77.507
ACC189,TRIP021,2024-02-06 06:20:23,1223,1.6,1.0,9.3,6,28.6592,77.2383
ACC190,TRIP026,2024-02-06 06:29:57,1797,2.3,1.5,8.8,28,28.6419,77.2515
ACC191,TRIP029,2024-02-06 06:13:36,816,1.3,0.3,9.1,42,19.1823,72.6431
ACC192,TRIP009,2024-02-06 06:16:11,971,0.3,1.7,8.6,6,12.8582,77.5168
ACC193,TRIP024,2024-02-06 06:02:02,122,1.8,1.2,8.9,7,28.6522,77.2305
ACC194,TRIP014,2024-02-06 06:14:26,866,2.6,1.5,9.8,38,12.855,77.5269
ACC195,TRIP010,2024-02-06 06:05:16,316,2.0,0.5,8.6,54,12.8242,77.5096
ACC196,TRIP018,2024-02-06 06:07:43,463,2.4,1.7,9.8,52,12.8246,77.5004
ACC197,TRIP020,2024-02-06 06:20:47,1247,2.8,1.7,8.8,11,28.6643,77.2476
ACC198,TRIP009,2024-02-06 06:11:58,718,0.1,1.8,9.2,25,28.6678,77.2622
ACC199,TRIP003,2024-02-06 06:03:07,187,2.3,0.5,9.0,21,19.1954,72.6489
ACC200,TRIP006,2024-02-06 06:19:22,1162,1.8,1.8,8.7,48,12.8325,77.5023
ACC201,TRIP020,2024-02-06 06:22:35,1355,1.3,1.3,9.0,13,19.1927,72.6209
ACC202,TRIP025,2024-02-06 06:09:40,580,2.1,1.2,9.2,19,28.6418,77.2425
ACC203,TRIP002,2024-02-06 06:00:15,15,0.7,1.9,9.5,48,19.1816,72.634
ACC204,TRIP009,2024-02-06 06:25:29,1529,1.3,0.3,9.2,14,12.8331,77.4896
ACC205,TRIP017,2024-02-06 06:02:27,147,1.3,1.5,9.1,29,28.6706,77.2576
ACC206,TRIP030,2024-02-06 06:19:34,1174,1.3,1.3,8.9,25,19.2003,72.633
ACC207,TRIP001,2024-02-06 06:15:42,942,2.5,1.8,8.6,54,12.8269,77.5272
ACC208,TRIP004,2024-02-06 06:02:41,161,1.2,0.7,8.9,21,19.1832,72.626
ACC209,TRIP025,2024-02-06 06:18:06,1086,1.6,1.8,9.0,46,19.1688,72.6353
ACC210,TRIP027,2024-02-06 06:04:59,299,0.8,0.4,8.7,48,28.6699,77.2348
ACC211,TRIP021,2024-02-06 06:16:51,1011,1.4,1.2,9.3,43,19.1729,72.6409
ACC212,TRIP030,2024-02-06 06:11:01,661,2.6,1.3,8.7,4,28.663,77.2648
ACC213,TRIP016,2024-02-06 06:20:11,1211,0.3,1.1,8.9,28,12.8453,77.5211
ACC214,TRIP002,2024-02-06 06:22:00,1320,2.6,1.7,9.3,32,19.1805,72.6215
ACC215,TRIP013,2024-02-06 06:25:13,1513,2.7,1.0,9.6,41,12.8432,77.5275
ACC216,TRIP007,2024-02-06 06:02:06,126,1.4,1.6,9.6,45,12.8442,77.5093
ACC217,TRIP003,2024-02-06 06:24:09,1449,1.4,0.9,9.2,10,28.6631,77.2269
ACC218,TRIP012,2024-02-06 06:26:26,1586,1.1,1.2,9.5,41,12.8567,77.5048
ACC219,TRIP011,2024-02-06 06:13:11,791,0.9,1.5,9.4,58,19.179,72.6323
ACC220,TRIP020,2024-02-06 06:04:49,289,2.8,0.7,9.4,42,19.1791,72.6333
ACC221,TRIP013,2024-02-06 06:10:34,634,1.7,1.3,8.9,8,19.1896,72.6475
ACC222,TRIP022,2024-02-06 06:23:23,1403,2.7,0.3,9.4,32,28.6705,77.2549
ACC223,TRIP012,2024-02-06 06:07:18,438,1.1,1.6,8.7,8,19.1803,72.6172
ACC224,TRIP005,2024-02-06 06:17:19,1039,2.3,1.7,9.6,2,19.1776,72.6415
ACC225,TRIP022,2024-02-06 06:20:23,1223,1.2,0.4,9.6,49,12.8551,77.514
ACC226,TRIP020,2024-02-06 06:12:26,746,2.1,0.6,9.1,18,19.1946,72.6118
ACC227,TRIP025,2024-02-06 06:08:09,489,1.0,1.6,9.1,53,28.6686,77.2347
ACC228,TRIP007,2024-02-06 06:15:02,902,1.4,0.6,9.0,33,12.8471,77.5121
ACC229,TRIP014,2024-02-06 06:04:43,283,2.6,0.2,9.1,23,19.1984,72.6421
ACC230,TRIP018,2024-02-06 06:04:15,255,0.9,1.5,8.9,57,19.1942,72.6306
ACC231,TRIP017,2024-02-06 06:07:34,454,2.5,1.8,9.7,26,19.199,72.6137
ACC232,TRIP002,2024-02-06 06:02:47,167,1.2,0.2,9.7,53,12.8401,77.4987
ACC233,TRIP023,2024-02-06 06:01:18,78,0.9,1.7,9.4,8,28.6507,77.2312
ACC234,TRIP025,2024-02-06 06:02:42,162,0.2,0.5,8.7,60,28.6561,77.25
ACC235,TRIP024,2024-02-06 06:09:50,590,0.8,0.3,8.8,40,28.6584,77.2298
ACC236,TRIP026,2024-02-06 06:17:03,1023,1.8,0.1,9.2,15,28.6556,77.2298
ACC237,TRIP023,2024-02-06 06:12:02,722,0.8,0.9,9.4,5,19.1774,72.6101
ACC238,TRIP017,2024-02-06 06:17:19,1039,2.4,1.1,8.5,55,12.8227,77.5103
ACC239,TRIP016,2024-02-06 06:08:39,519,2.3,0.8,8.6,15,19.1912,72.6492
ACC240,TRIP024,2024-02-06 06:25:05,1505,2.3,0.4,9.0,21,28.6624,77.2562
ACC241,TRIP027,2024-02-06 06:15:51,951,2.9,1.0,8.7,8,28.6443,77.2565
ACC242,TRIP003,2024-02-06 06:10:00,600,0.7,1.6,9.7,20,28.6683,77.2436
ACC243,TRIP030,2024-02-06 06:18:32,1112,1.5,0.2,9.3,18,12.8406,77.5288
